Wall time,Step,Value
1723661908.9562478,967,0.09763742238283157
1723665673.0380235,1935,0.08133456856012344
1723669394.3706112,2903,0.07934042811393738
1723673083.2728968,3871,0.08280598372220993
1723676755.02752,4839,0.08672091364860535
1723680481.3233097,5807,0.08511458337306976
1723684262.2599206,6775,0.08708593994379044
1723688198.8803136,7743,0.08946770429611206
1723692114.536762,8711,0.08864336460828781
1723695877.369855,9679,0.0919116958975792
1723699306.4175923,10647,0.09222538769245148
1723702887.0374792,11615,0.09042815119028091
1723706411.3249812,12583,0.08606965094804764
1723709888.0270693,13551,0.07709226757287979
1723713333.6900148,14519,0.07291917502880096
1723717009.8902364,15487,0.07557938247919083
1723720765.73809,16455,0.0732777938246727
1723724582.1390102,17423,0.06997640430927277
1723728435.6455534,18391,0.06742677837610245
1723732466.6638086,19359,0.06732800602912903
1723736495.055276,20327,0.06679320335388184
1723740556.6011796,21295,0.06677374243736267
1723744647.0152707,22263,0.06438688188791275
1723748710.5937512,23231,0.06377909332513809
1723752707.928118,24199,0.06337569653987885
1723756743.1121662,25167,0.06046131253242493
1723760747.030105,26135,0.061886049807071686
1723764754.3330507,27103,0.06241806223988533
1723768799.4091306,28071,0.06042127683758736
1723772738.5551167,29039,0.057664576917886734
1723776437.2614715,30007,0.05761042237281799
1723779893.4229236,30975,0.05775923281908035
1723783422.4440258,31943,0.05625046417117119
1723787266.1249013,32911,0.0590384341776371
1723791137.6296864,33879,0.057940978556871414
1723794871.6408298,34847,0.05869258567690849
1723798757.055827,35815,0.05762382224202156
1723802695.8429506,36783,0.055757664144039154
1723806569.3944705,37751,0.054327063262462616
1723810486.3109674,38719,0.05339551344513893
1723814320.6235845,39687,0.05302150547504425
1723818351.0877001,40655,0.05144120752811432
1723822265.308599,41623,0.055499203503131866
1723826103.494685,42591,0.05445857346057892
1723829947.1637084,43559,0.05222852900624275
1723833864.3333948,44527,0.05182504281401634
1723837835.051796,45495,0.05315731093287468
1723841705.2338862,46463,0.05174611136317253
1723845448.6311169,47431,0.05004599690437317
1723849197.3586907,48399,0.05128440260887146
1723852968.8074462,49367,0.0510062649846077
1723856804.1561954,50335,0.052071698009967804
1723860795.4837365,51303,0.052539147436618805
1723864799.99715,52271,0.05071147903800011
1723868995.362845,53239,0.05186415836215019
1723873519.1855924,54207,0.05068342387676239
1723878112.9119506,55175,0.049054570496082306
1723882305.003756,56143,0.049670781940221786
1723886292.940447,57111,0.04797820746898651
1723890307.4282033,58079,0.05034836754202843
1723894161.3037736,59047,0.04995769262313843
1723897904.0769415,60015,0.05011183023452759
