Wall time,Step,Value
1718599744.5020359,967,0.7546308040618896
1718602260.0541313,1935,0.3872931897640228
1718604790.2012017,2903,0.25447413325309753
1718607354.0466478,3871,0.18231026828289032
1718609931.5645406,4839,0.15591485798358917
1718612480.9867709,5807,0.1382656693458557
1718615062.4939978,6775,0.13087086379528046
1718617631.1431303,7743,0.12116844952106476
1718620228.041567,8711,0.11241719126701355
1718622793.3788655,9679,0.10422374308109283
1718625324.8240423,10647,0.0956299677491188
1718627838.5035553,11615,0.09153864532709122
1718630372.785327,12583,0.08385561406612396
1718632857.0741293,13551,0.08049438148736954
1718635332.1757493,14519,0.07735265791416168
1718637802.1039429,15487,0.07267522811889648
1718640271.59732,16455,0.07269477099180222
1718642748.5596921,17423,0.06694591045379639
1718645215.3980594,18391,0.06818431615829468
1718647676.567117,19359,0.06664951890707016
1718650136.6989937,20327,0.06429240107536316
1718652590.5939264,21295,0.061609551310539246
1718655054.6109285,22263,0.06115741655230522
1718657518.224093,23231,0.058957576751708984
1718659971.5952246,24199,0.0584983304142952
1718662435.6343267,25167,0.05689341947436333
1718664903.5849586,26135,0.05543944239616394
1718667387.4019823,27103,0.059115756303071976
1718669863.809511,28071,0.05601746588945389
1718672345.968595,29039,0.05587754398584366
